"zona_nll","rank 8",5595
-78.450,0.237
-78.712,1.791
-78.708,1.788
-78.706,1.785
-78.704,1.782
-78.701,1.781
-78.697,1.78
-78.693,1.78
-78.69,1.782
-78.686,1.783
-78.683,1.786
-78.679,1.787
-78.675,1.787
-78.668,1.786
-78.665,1.786
-78.662,1.786
-78.657,1.787
-78.654,1.788
-78.65,1.789
-78.646,1.79
-78.643,1.791
-78.639,1.791
-78.635,1.791
-78.631,1.791
-78.627,1.791
-78.623,1.791
-78.619,1.792
-78.614,1.793
-78.609,1.793
-78.606,1.793
-78.603,1.793
-78.599,1.791
-78.599,1.786
-78.599,1.782
-78.6,1.777
-78.6,1.773
-78.599,1.769
-78.598,1.766
-78.595,1.764
-78.592,1.767
-78.589,1.768
-78.584,1.768
-78.58,1.766
-78.577,1.763
-78.574,1.759
-78.57,1.757
-78.568,1.757
-78.563,1.759
-78.563,1.763
-78.563,1.767
-78.563,1.77
-78.563,1.774
-78.563,1.778
-78.563,1.781
-78.561,1.785
-78.559,1.788
-78.556,1.792
-78.554,1.795
-78.552,1.798
-78.549,1.802
-78.548,1.806
-78.548,1.81
-78.548,1.815
-78.548,1.819
-78.548,1.824
-78.548,1.828
-78.547,1.832
-78.546,1.836
-78.546,1.84
-78.545,1.843
-78.544,1.847
-78.54,1.851
-78.538,1.855
-78.537,1.859
-78.54,1.861
-78.544,1.864
-78.547,1.866
-78.547,1.87
-78.547,1.874
-78.547,1.877
-78.547,1.881
-78.547,1.884
-78.548,1.888
-78.549,1.892
-78.55,1.895
-78.554,1.898
-78.557,1.9
-78.561,1.901
-78.565,1.901
-78.568,1.902
-78.572,1.902
-78.575,1.902
-78.579,1.9
-78.583,1.898
-78.586,1.897
-78.59,1.896
-78.593,1.895
-78.6,1.9
-78.6,1.902
-78.601,1.905
-78.601,1.907
-78.601,1.908
-78.601,1.91
-78.601,1.912
-78.601,1.913
-78.601,1.915
-78.601,1.917
-78.6,1.918
-78.6,1.92
-78.6,1.923
-78.6,1.924
-78.6,1.926
-78.6,1.928
-78.599,1.929
-78.599,1.931
-78.599,1.933
-78.6,1.934
-78.601,1.936
-78.602,1.937
-78.603,1.939
-78.605,1.941
-78.605,1.943
-78.604,1.945
-78.604,1.946
-78.602,1.948
-78.601,1.949
-78.6,1.951
-78.599,1.952
-78.597,1.953
-78.595,1.954
-78.594,1.955
-78.593,1.957
-78.592,1.959
-78.592,1.96
-78.592,1.962
-78.591,1.964
-78.59,1.966
-78.59,1.968
-78.59,1.97
-78.59,1.971
-78.59,1.974
-78.59,1.975
-78.591,1.977
-78.592,1.978
-78.594,1.979
-78.596,1.98
-78.596,1.982
-78.597,1.984
-78.597,1.986
-78.598,1.988
-78.599,1.989
-78.599,1.99
-78.6,1.993
-78.602,1.994
-78.603,1.995
-78.605,1.996
-78.607,1.997
-78.609,1.997
-78.61,1.997
-78.613,1.998
-78.614,1.998
-78.616,1.999
-78.618,1.999
-78.62,2
-78.621,2
-78.624,2.001
-78.625,2.002
-78.626,2.004
-78.626,2.005
-78.627,2.007
-78.628,2.008
-78.63,2.009
-78.632,2.009
-78.633,2.008
-78.635,2.007
-78.636,2.006
-78.635,2.004
-78.634,2.002
-78.635,2
-78.636,1.999
-78.637,1.997
-78.639,1.997
-78.641,1.995
-78.642,1.994
-78.643,1.993
-78.645,1.992
-78.646,1.991
-78.647,1.989
-78.647,1.987
-78.647,1.986
-78.647,1.984
-78.647,1.982
-78.647,1.98
-78.646,1.979
-78.647,1.977
-78.648,1.976
-78.651,1.976
-78.652,1.976
-78.654,1.977
-78.656,1.978
-78.657,1.979
-78.659,1.98
-78.661,1.98
-78.662,1.979
-78.661,1.978
-78.66,1.977
-78.661,1.976
-78.662,1.974
-78.664,1.973
-78.665,1.973
-78.667,1.972
-78.669,1.972
-78.67,1.972
-78.672,1.973
-78.672,1.974
-78.674,1.976
-78.675,1.978
-78.675,1.98
-78.675,1.982
-78.675,1.983
-78.675,1.985
-78.674,1.987
-78.673,1.988
-78.671,1.989
-78.669,1.99
-78.667,1.99
-78.666,1.992
-78.666,1.994
-78.667,1.996
-78.667,1.997
-78.667,1.999
-78.668,2.003
-78.668,2.005
-78.669,2.007
-78.669,2.009
-78.669,2.011
-78.669,2.013
-78.669,2.015
-78.668,2.017
-78.668,2.019
-78.668,2.021
-78.668,2.023
-78.668,2.025
-78.668,2.027
-78.669,2.029
-78.669,2.031
-78.669,2.033
-78.669,2.035
-78.67,2.036
-78.67,2.038
-78.671,2.039
-78.672,2.041
-78.673,2.043
-78.673,2.045
-78.673,2.046
-78.671,2.048
-78.669,2.048
-78.668,2.047
-78.666,2.047
-78.664,2.046
-78.663,2.046
-78.661,2.046
-78.66,2.048
-78.661,2.049
-78.663,2.05
-78.664,2.051
-78.666,2.051
-78.668,2.052
-78.669,2.053
-78.671,2.054
-78.672,2.055
-78.674,2.056
-78.676,2.057
-78.678,2.058
-78.68,2.059
-78.682,2.073
-78.682,2.075
-78.682,2.077
-78.682,2.079
-78.682,2.081
-78.682,2.083
-78.683,2.084
-78.684,2.086
-78.685,2.088
-78.686,2.09
-78.686,2.091
-78.687,2.093
-78.687,2.093
-78.687,2.096
-78.688,2.098
-78.688,2.1
-78.688,2.102
-78.689,2.104
-78.689,2.105
-78.689,2.107
-78.688,2.109
-78.687,2.11
-78.685,2.11
-78.683,2.11
-78.682,2.11
-78.68,2.11
-78.678,2.11
-78.677,2.109
-78.675,2.109
-78.673,2.107
-78.672,2.106
-78.671,2.103
-78.67,2.103
-78.669,2.1
-78.668,2.098
-78.667,2.096
-78.667,2.095
-78.665,2.094
-78.663,2.094
-78.662,2.093
-78.661,2.095
-78.661,2.096
-78.662,2.098
-78.663,2.1
-78.664,2.102
-78.664,2.104
-78.665,2.105
-78.666,2.107
-78.666,2.109
-78.667,2.11
-78.669,2.112
-78.669,2.113
-78.669,2.115
-78.669,2.117
-78.669,2.119
-78.669,2.12
-78.67,2.122
-78.671,2.122
-78.673,2.123
-78.675,2.124
-78.676,2.125
-78.678,2.125
-78.68,2.126
-78.681,2.126
-78.683,2.126
-78.685,2.125
-78.687,2.123
-78.688,2.122
-78.69,2.12
-78.692,2.12
-78.693,2.118
-78.695,2.117
-78.696,2.116
-78.698,2.115
-78.7,2.115
-78.702,2.115
-78.704,2.116
-78.705,2.117
-78.706,2.119
-78.706,2.12
-78.706,2.122
-78.706,2.125
-78.706,2.127
-78.707,2.129
-78.708,2.13
-78.709,2.132
-78.709,2.133
-78.709,2.135
-78.709,2.137
-78.709,2.139
-78.709,2.142
